objectid,title,format,filename,subjectcontents,Owner,Photographer,Sculptor,description,imagealttext,,Sculpt/Body Name
item1,Mauro Maldonado (golden hour),image/png,Mauro Golden Hour.png,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed with setting sun behind,Little Rebel Sarang (Mauro Maldonado),,LR Sarang/April Story (discontd)
item2,Dante in Autumn,image/jpeg,Dante in autumn.jpg,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed in natural landscape,Little Rebel Andre (Dante McGillicuddy),,LR Andre/Impldoll Star(discontd)
item3,Anjali Kaur,image/jpeg,Anjali Kaur Little Rebel Noelle Dyed.jpg,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed indoors,Little Rebel Noelle (Anjali Kaur),,LR Noelle/ Resinsoul Bigger Body 
item4,Zev and Zev-chan,image/png,Zev and Zev-chan.jpg,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll//Impldoll,Large bjd holding a small bjd indoors,Little Rebel Jelle with Impldoll Popo,,LR Jelle (discontd) MYOU body
item5,The Danger Twins in Pastel and Neon,image/jpeg,Pastel and Neon Danger Twins.jpg,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll,Two bjds photographed outdoors in complimentary outfits,Little Rebel Andre on Impldoll Star Body and Little Rebel Jelle on MYOU body,,LR Andre/LR Jelle
item6,"Massimo Luzzatto ""ciao belle""",image/jpeg,Massimo Luzzatto Impldoll Tony Real Skin.jpg,ball jointed doll,Dani Laver,Dani Laver,Impldoll,bjd photographed against a window,Impldoll Tony (Massimo Luzzatto),,Impldoll Tony on TGB Body (discontd)
item7,Joy (Golden Hour),image/jpeg,Joy Golden Hour.jpg,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed indoors,Impldoll Kamu on Resinsoul Body (Joy Adaeze),,LR Kamu on Resinsoul 58 cm body
item8,The Danger Chibi Twins,image/jpeg,The Danger Twins Chibi.jpg,ball jointed doll,Dani Laver,Dani Laver,Dollzone//Impldoll,Two tiny bjds on a desk,Dollzone Mini MO in white resin and Impldoll Popo in dark tan,,Dollzone Mini MO (discontd) and Impldoll Popo (discontd)
item9,Zephyr Zinedine,image/jpeg,Zephyr Zinedine Little Rebel Jelle Coffee.jpg,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed indoors,Little Rebel Jelle on MYOU body in coffee resin,,LR Jelle (discontd) MYOU body
item10,Dante McGillicuddy,image/jpeg,Dante McGillicuddy Little Rebel Andre Peach.jpg,ball jointed doll,Dani Laver,Dani Laver,Little Rebel Doll,Bjd photgraphed outdoors against a chainlink fence,Little Rebel Andre on Impldoll OLD Star body,,LR Andre/Impldoll OLD Star Body (discontd)
