objectid,title,format,filename,subjectcontents,Owner,Photographer,Sculptor,description,imagealttext,,Sculpt/Body Name
item1,Mauro Maldonado (golden hour),image/png,Mauro Golden Hour.png,ball jointed doll; little rebel; sarang; bjd of colour; caramel skin,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed with setting sun behind,Little Rebel Sarang (Mauro Maldonado),,LR Sarang/April Story (discontd)
item2,Dante in Autumn,image/jpeg,Dante in autumn.jpg,ball jointed doll; little rebel; andre; outdoor photography; peach skin,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed in natural landscape,Little Rebel Andre (Dante McGillicuddy),,LR Andre/Impldoll Star(discontd)
item3,Anjali Kaur,image/jpeg,Anjali Kaur Little Rebel Noelle Dyed.jpg,ball jointed doll; little rebel; noelle; bjd of colour; dyed,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed indoors,Little Rebel Noelle (Anjali Kaur),,LR Noelle/ Resinsoul Bigger Body 
item4,Zev and Zev-chan,image/png,Zev and Zev-chan.jpg,ball jointed doll; little rebel; jelle; impldoll; popo; tiny bjd; bjd of colour,Dani Laver,Dani Laver,Little Rebel Doll//Impldoll,Large bjd holding a small bjd indoors,Little Rebel Jelle with Impldoll Popo,,LR Jelle (discontd) MYOU body
item5,The Danger Twins in Pastel and Neon,image/jpeg,Pastel and Neon Danger Twins.jpg,ball jointed doll; little rebel; hybrid; andre; jelle; bjd of colour; outdoor photography; myou doll; impldoll,Dani Laver,Dani Laver,Little Rebel Doll,Two bjds photographed outdoors in complimentary outfits,Little Rebel Andre on Impldoll Star Body and Little Rebel Jelle on MYOU body,,LR Andre/LR Jelle
item6,"Massimo Luzzatto ""ciao belle""",image/jpeg,Massimo Luzzatto Impldoll Tony Real Skin.jpg,ball jointed doll; impldoll; real skin; tgb body,Dani Laver,Dani Laver,Impldoll,bjd photographed against a window,Impldoll Tony (Massimo Luzzatto),,Impldoll Tony on TGB Body (discontd)
item7,Joy (Golden Hour),image/jpeg,Joy Golden Hour.jpg,ball jointed doll; resinsoul; kamu; chocolate resin; hybrid; bjd of colour,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed indoors,Impldoll Kamu on Resinsoul Body (Joy Adaeze),,LR Kamu on Resinsoul 58 cm body
item8,The Danger Chibi Twins,image/jpeg,The Danger Twins Chibi.jpg,ball jointed doll; tiny bjd; dollzone; impldoll; mini mo; popo; bjd of colour,Dani Laver,Dani Laver,Dollzone//Impldoll,Two tiny bjds on a desk,Dollzone Mini MO in white resin and Impldoll Popo in dark tan,,Dollzone Mini MO (discontd) and Impldoll Popo (discontd)
item9,Zephyr Zinedine,image/jpeg,Zephyr Zinedine Little Rebel Jelle Coffee.jpg,ball jointed doll; little rebel; myou doll; hybrid; jelle; bjd of colour; coffee skin,Dani Laver,Dani Laver,Little Rebel Doll,bjd photographed indoors,Little Rebel Jelle on MYOU body in coffee resin,,LR Jelle (discontd) MYOU body
item10,Dante McGillicuddy,image/jpeg,Dante McGillicuddy Little Rebel Andre Peach.jpg,ball jointed doll; little rebel; andre; outdoor photography; peach skin,Dani Laver,Dani Laver,Little Rebel Doll,Bjd photgraphed outdoors against a chainlink fence,Little Rebel Andre on Impldoll OLD Star body,,LR Andre/Impldoll OLD Star Body (discontd)
item11,Jelle blank scultpt turnaround,image/jpeg,jelle_blank2019a,bjd sculpt; blank sculpt; little rebel; jelle; coffee skin; peach skin; bjd of colour,,Little Rebel Doll,Little Rebel Doll,blank bjd sculpt turnaround 4 angles,Little Rebel Jelle head blank sculpt in turnaround in 2 resins colours,,LR Jelle head 2 colors (discontd)
item12,Kamu sculpt blank,image/jpeg,littlerebel_kamu_blank_head_chocolate,bjd sculpt; blank sculpt; chocolate skin; bjd of colour,,Little Rebel Doll,Little Rebel Doll,blank bjd sculpt held in hand chocolate resin ,Little Rebel Kamu head blank sculpt in chocolate resin,,LR Kamu head blank in chocolate resin
item13,Noelle sculpt blank,image/jpeg,littlerebel_noelle_blank_head_1,bjd sculpt; blank sculpt; peach skin,,Little Rebel Doll,Little Rebel Doll,blank bjd sculpt 1 view,Little Rebel Noelle sculpt blank in portrait view,,LR Noelle sculpt head blank in peach resin
item14,Sarang sculpt blank,image/jpeg,littlerebel_sarang_blank_head,bjd sculpt; blank sculpt; caramel skin,,Little Rebel Doll,Little Rebel Doll,blank bjd sculpt 1 view,Little Rebel Sarang sculpt blank in portrait,,LR Sarang sculpt blank head in caramel resin
item15,Impldoll Tony stock photo,image/jpeg,impldoll tony,bjd sculpt; stock photography,,Impldoll,Impldoll,BJD promotional image with fullset and accessories,Impldoll discontinued Tony sculpt on new Idol TGB body with fullset and accessories promotional images,,Impldoll Tony on TGB Body (discontd)
item16,Andre sculpt blank,image/jpeg,Andre_2021_renewali,bjd sculpt; blank sculpt; little rebel; andre,,Little Rebel Doll,Little Rebel Doll,blank bjd sculpt 1 view,Little Rebel Andre sculpt blank head in portrait view peach resin,,LR Andre revival sculpt head blank in peach resin
